iter	Passed	Remaining
710	2286	929
711	2287	925
712	2288	921
713	2289	916
714	2289	912
715	2290	908
716	2291	904
717	2292	900
718	2293	896
719	2294	892
720	2295	888
721	2296	884
722	2296	880
723	2297	875
724	2298	871
725	2299	867
726	2300	863
727	2301	859
728	2302	855
729	2303	851
730	2304	847
731	2305	843
732	2305	839
733	2306	835
734	2307	832
735	2309	828
736	2310	824
737	2311	820
738	2312	816
739	2312	812
740	2313	808
741	2314	804
742	2315	800
743	2316	797
744	2317	793
745	2318	789
746	2319	785
747	2320	781
748	2321	777
749	2321	773
750	2322	770
751	2323	766
752	2324	762
753	2325	758
754	2326	755
755	2327	751
756	2328	747
757	2329	743
758	2330	739
759	2331	736
760	2332	732
761	2333	728
762	2333	724
763	2335	721
764	2336	717
765	2336	713
766	2337	710
767	2338	706
768	2339	702
769	2340	699
770	2341	695
771	2342	691
772	2343	688
773	2344	684
774	2345	680
775	2346	677
776	2347	673
777	2348	670
778	2349	666
779	2350	662
780	2351	659
781	2353	656
782	2354	652
783	2355	648
784	2356	645
785	2356	641
786	2357	638
787	2358	634
788	2359	631
789	2360	627
790	2361	623
791	2362	620
792	2363	616
793	2364	613
794	2364	609
795	2365	606
796	2366	602
797	2367	599
798	2368	595
799	2369	592
800	2370	588
801	2371	585
802	2372	582
803	2373	578
804	2374	575
805	2375	571
806	2375	568
807	2376	564
808	2377	561
809	2379	558
810	2380	554
811	2381	551
812	2382	547
813	2383	544
814	2383	541
815	2384	537
816	2385	534
817	2386	530
818	2387	527
819	2388	524
820	2389	520
821	2389	517
822	2390	514
823	2391	510
824	2392	507
825	2393	504
826	2394	500
827	2395	497
828	2396	494
829	2397	491
830	2398	487
831	2399	484
832	2399	481
833	2400	477
834	2401	474
835	2402	471
836	2403	468
837	2404	464
838	2405	461
839	2406	458
840	2407	455
841	2408	451
842	2409	448
843	2410	445
844	2411	442
845	2411	439
846	2412	435
847	2414	432
848	2415	429
849	2416	426
850	2416	423
851	2417	419
852	2418	416
853	2419	413
854	2420	410
855	2421	407
856	2422	404
857	2423	401
858	2424	397
859	2424	394
860	2425	391
861	2426	388
862	2427	385
863	2428	382
864	2429	379
865	2430	376
866	2431	372
867	2432	369
868	2432	366
869	2433	363
870	2434	360
871	2435	357
872	2436	354
873	2437	351
874	2438	348
875	2439	345
876	2440	342
877	2441	339
878	2442	336
879	2443	333
880	2443	330
881	2444	327
882	2445	324
883	2446	321
884	2447	318
885	2448	315
886	2449	312
887	2450	309
888	2451	306
889	2452	303
890	2453	300
891	2454	297
892	2455	294
893	2456	291
894	2456	288
895	2457	285
896	2458	282
897	2459	279
898	2460	276
899	2461	273
900	2462	270
901	2463	267
902	2464	264
903	2465	261
904	2466	258
905	2467	255
906	2467	253
907	2468	250
908	2469	247
909	2470	244
910	2471	241
911	2472	238
912	2473	235
913	2474	232
914	2474	229
915	2475	227
916	2477	224
917	2477	221
918	2478	218
919	2479	215
920	2480	212
921	2481	209
922	2482	207
923	2483	204
924	2484	201
925	2484	198
926	2486	195
927	2487	192
928	2488	190
929	2489	187
930	2489	184
931	2490	181
932	2491	178
933	2492	176
934	2493	173
935	2494	170
936	2495	167
937	2496	164
938	2497	162
939	2497	159
940	2498	156
941	2499	153
942	2500	151
943	2501	148
944	2502	145
945	2503	142
946	2503	140
947	2504	137
948	2505	134
949	2506	131
950	2507	129
951	2508	126
952	2509	123
953	2510	121
954	2511	118
955	2512	115
956	2514	112
957	2515	110
958	2516	107
959	2517	104
960	2518	102
961	2519	99
962	2520	96
963	2521	94
964	2522	91
965	2523	88
966	2524	86
967	2524	83
968	2525	80
969	2526	78
970	2527	75
971	2528	72
972	2529	70
973	2530	67
974	2531	64
975	2532	62
976	2533	59
977	2534	57
978	2535	54
979	2536	51
980	2536	49
981	2537	46
982	2538	43
983	2539	41
984	2540	38
985	2541	36
986	2542	33
987	2543	30
988	2543	28
989	2544	25
990	2545	23
991	2546	20
992	2547	17
993	2548	15
994	2549	12
995	2550	10
996	2551	7
997	2552	5
998	2553	2
999	2553	0
